# r_bohr,V_hartree
2.660359281437125745e+01,2.197889177419339382e-03
2.663784431137724340e+01,2.198112388010333394e-03
2.667209580838323291e+01,2.198331176256479447e-03
2.670634730538922241e+01,2.198545619213345629e-03
2.674059880239520837e+01,2.198755792884821321e-03
2.677485029940119787e+01,2.198961772229288472e-03
2.680910179640718383e+01,2.199163631166014925e-03
2.684335329341317333e+01,2.199361442581765878e-03
2.687760479041915929e+01,2.199555278337616149e-03
2.691185628742514879e+01,2.199745209275961490e-03
2.694610778443113830e+01,2.199931305227712484e-03
2.698035928143712425e+01,2.200113635019667994e-03
2.701461077844311376e+01,2.200292266482053831e-03
2.704886227544909971e+01,2.200467266456223193e-03
2.708311377245508922e+01,2.200638700802505857e-03
2.711736526946107873e+01,2.200806634408199181e-03
2.715161676646706468e+01,2.200971131195694416e-03
2.718586826347305418e+01,2.201132254130726187e-03
2.722011976047904014e+01,2.201290065230744695e-03
2.725437125748502964e+01,2.201444625573392017e-03
2.728862275449101560e+01,2.201595995305087681e-03
2.732287425149700510e+01,2.201744233649703588e-03
2.735712574850299461e+01,2.201889398917333471e-03
2.739137724550898056e+01,2.202031548513140417e-03
2.742562874251497007e+01,2.202170738946279422e-03
2.745988023952095602e+01,2.202307025838889324e-03
2.749413173652694553e+01,2.202440463935147631e-03
2.752838323353293504e+01,2.202571107110379116e-03
2.756263473053892099e+01,2.202699008380215161e-03
2.759688622754491050e+01,2.202824219909799066e-03
2.763113772455089645e+01,2.202946793023025616e-03
2.766538922155688596e+01,2.203066778211817088e-03
2.769964071856287191e+01,2.203184225145427000e-03
2.773389221556886142e+01,2.203299182679762085e-03
2.776814371257485092e+01,2.203411698866727247e-03
2.780239520958083688e+01,2.203521820963578320e-03
2.783664670658682638e+01,2.203629595442286541e-03
2.787089820359281234e+01,2.203735067998903018e-03
2.790514970059880184e+01,2.203838283562924508e-03
2.793940119760479135e+01,2.203939286306653977e-03
2.797365269461077730e+01,2.204038119654549467e-03
2.800790419161676681e+01,2.204134826292563406e-03
2.804215568862275276e+01,2.204229448177459812e-03
2.807640718562874227e+01,2.204322026546116746e-03
2.811065868263472822e+01,2.204412601924801013e-03
2.814491017964071773e+01,2.204501214138413802e-03
2.817916167664670724e+01,2.204587902319709875e-03
2.821341317365269319e+01,2.204672704918479460e-03
2.824766467065868270e+01,2.204755659710693708e-03
2.828191616766466865e+01,2.204836803807611566e-03
2.831616766467065816e+01,2.204916173664842830e-03
2.835041916167664766e+01,2.204993805091365680e-03
2.838467065868263361e+01,2.205069733258498664e-03
2.841892215568862312e+01,2.205143992708819348e-03
2.845317365269460907e+01,2.205216617365033521e-03
2.848742514970059858e+01,2.205287640538787161e-03
2.852167664670658453e+01,2.205357094939423314e-03
2.855592814371257404e+01,2.205425012682680000e-03
2.859017964071856355e+01,2.205491425299327402e-03
